id,Title,Content,SKU,"Product Type",parent_id,Price,"Stock Status",Stock,Виробник,Виробник,"Країна виготовлення","Вид масла","Застосовувати для","Для типу двигунів","В'язкість мастила по SAE","Кількість тактів двигуна","Енергозберігаюче мастило","Об'єм рідини",Специфікації,Допуски,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Категорії товарів",Slug,Backorders
62,"Масло моторне BMW TwinPower Turbo LL-04 5W-30 1л (83212365933)","Оригінальний продукт BMW Group.

Моторне масло BMW TwinPower Turbo Longlife-04 SAE 5W-30 призначене для всіх дизельних двигунів BMW з сажевим фільтром і без нього.",,simple,0,242,instock,100.000000,,,,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/319244991_w640_h640_66d9aas_960.jpg,319244991_w640_h640_66d9aas_960.jpg,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/319244991_w640_h640_66d9aas_960.jpg",90,319244991_w640_h640_66d9aas_960,,,319244991_w640_h640_66d9aas_960,"Масло, автохімія>Масло моторне>BMW",bmw-twinpower-turbo-ll-83212365933,no
77,"Антифриз концентрат BMW Kuehlerfrostschutz 1,5л","&nbsp;

BMW Kuehlerfrostschutz ― концентрат оригінальної охолоджуючої рідини. Колір синьо-зелений. Застосовується в системах охолодження автомобілів BMW. Рекомендується застосовувати розбавленим з водою в пропорції 1:1. Температура замерзання розчину -40°С.",,simple,0,229,outofstock,34.000000,BMW,BMW,Німеччина,Синтетичне,"Легкових автомобілів","Усі типи",5W-30,Чотиритактовий,Так,"1.0 (л)","ACEA C3|API SN","BMW Longlife-04",http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/318196117_w640_h640_antifreeze.jpg|http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/cropped-cropped-penta3-2.png|http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/417006432_w200_h200_antifriz4.jpg|http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/328387935_w200_h200_brake_fluid.jpg,318196117_w640_h640_antifreeze.jpg|cropped-cropped-penta3-2.png|417006432_w200_h200_antifriz4.jpg|328387935_w200_h200_brake_fluid.jpg,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/318196117_w640_h640_antifreeze.jpg|H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/cropped-cropped-penta3-2.png|H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/417006432_w200_h200_antifriz4.jpg|H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/328387935_w200_h200_brake_fluid.jpg",89|150|76|75,318196117_w640_h640_antifreeze|cropped-cropped-penta3-2.png|417006432_w200_h200_antifriz4|328387935_w200_h200_brake_fluid,"Гальмівні та гідравлічні рідини",http://localhost/wordpress/wp-content/uploads/2016/08/cropped-cropped-penta3-2.png,Antifreeze,"Масло, автохімія>Охолоджуючі рідини",kuhlerfrostschutz,notify
112,"Запчастини BMW","Залиште свій номер телефону або напишіть нам запит, і наші менеджери зв’яжуться з Вами та проведуть професійний підбір необхідних Вам запчастин.
У запиті, будь ласка, вкажіть:
- марку, модель автомобіля;
- рік випуску;
- об’єм двигуна;
- VIN номер кузова;
- запчастини які вас цікавлять.",,simple,0,1,instock,100.000000,,,,,,,,,,,,,,,,,,,,,Запчастини,bmw,no
113,"Запчастини Audi","Наша компанія пропонує оригінальні та неоригінальні <a href=""http://germanoil.in.ua/g11543025-zapchastini"">запчастини</a> для автомобілів марки Audi. Залиште свій номер телефону або напишіть нам запит, і наші менеджери зв’яжуться з Вами та проведуть професійний підбір необхідних Вам запчастин.
У запиті, будь ласка, вкажіть:
- марку, модель автомобіля;
- рік випуску;
- об’єм двигуна;
- VIN номер кузова;
- запчастини які вас цікавлять.",,simple,0,1,instock,100.000000,,,,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/Old_Audi_logo-e1471513947440.png,Old_Audi_logo-e1471513947440.png,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/Old_Audi_logo-e1471513947440.png",116,Old_Audi_logo,,,,Запчастини,details-audi,no
117,"Запчастини для АВТО","Наша компанія пропонує оригінальні та неоригінальні <a href=""http://germanoil.in.ua/g11543025-zapchastini"">запчастини</a> для автомобілів марки <a href=""http://germanoil.in.ua/g5279047-mercedes-benz"">Mercedes-Benz</a>. Залиште свій номер телефону або напишіть нам запит, і наші менеджери зв’яжуться з Вами та проведуть професійний підбір необхідних Вам запчастин.
У запиті, будь ласка, вкажіть:
- марку, модель автомобіля;
- рік випуску;
- об’єм двигуна;
- VIN номер кузова;
- запчастини які вас цікавлять.",,variable,0,,instock,110.000000,,,,,,,,,,,,,,,,,,,,,Запчастини,datails-for-cars,notify
118,"Варіація №118 для Запчастини для АВТО",,,variable,117,1,instock,0,,,,,,,,,,,,,,,,,,,,,,product-117-variation,no
119,"Варіація №119 для Запчастини для АВТО",,,variable,117,1,instock,0,,,,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/Old_Audi_logo-e1471513947440.png,Old_Audi_logo-e1471513947440.png,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/Old_Audi_logo-e1471513947440.png",116,Old_Audi_logo,,,,,product-117-variation-2,no
124,"Фільтр масляний Knecht OC115","Масляний фільтр Knecht в процесі циркуляції масла надійно утримує забруднюючі частинки, завдяки чому зберігає чистоту масла, а також сприяє кращій роботі двигуна. <a href=""http://germanoil.in.ua/g11544496-fltri"">Фільтри</a> стійкі до холодного старту завдяки своїй будові. Запобіжний клапан гарантує подачу масла до деталей двигуна за будь-яких умов, а зворотній запірний клапан унеможливлює марну роботу фільтра при вимкненому двигуні.

<a href=""http://germanoil.in.ua/g8936178-maslyan-fltri"">Масляні фільтри</a> Knecht відповідають високим стандартам якості компаній-виробників автомобілів. Вся продукція Knecht проходить суворий контроль якості.

Заміну масляного фільтра потрібно проводити під час заміни масла, відповідно до зазначених виробником автомобіля термінів (зазвичай 10-15 тис. км пробігу або 1 рік експлуатації).",,simple,0,166,instock,99,Knecht,Knecht,Австрія,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/327097365_w200_h200_oc115-2.jpg,327097365_w200_h200_oc115-2.jpg,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/327097365_w200_h200_oc115-2.jpg",125,327097365_w200_h200_oc115-2,,,,"Фільтри>Масляні фільтри",knecht-oc115,no
126,"Повітряний фільтр Knecht LX1008/3","Оптимальна робота двигуна, високий крутний момент, низька витрата палива і мінімальна кількість шкідливих викидів безпосередньо залежать від чистоти повітря, що впускається. Повітряні <a href=""http://germanoil.in.ua/g8936184-povtryan-fltri"">фільтри Knecht до</a>зволяють відфільтрувати 99,9% пилу, сажі та продуктів зносу шин. При цьому гарантовано оптимальне приготування паливно-повітряної суміші. Низький вміст домішок сторонніх часток ― гарантія тривалого терміну експлуатації. Високоякісні фільтри запобігають передчасному знос клапанів, поверхонь циліндрів, поршневих кілець, підшипників та інших компонентів двигуна. Тривале і надійне функціонування фільтрів гарантоване тільки в разі їх заміни з періодичністю, зазначеною виробником автомобіля (10-20 тис. км пробігу).

Повітряні фільтри Knecht відповідають високим стандартам якості компаній-виробників автомобілів. Вся продукціяKnecht проходить суворий контроль якості.",,simple,0,273,instock,100.000000,Knecht,Knecht,Австрія,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/Knecht-LX1008-3.jpg,Knecht-LX1008-3.jpg,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/Knecht-LX1008-3.jpg",127,Knecht-LX1008-3,,,,"Фільтри>Повітряні фільтри",knecht-lx10083,no
128,"Фільтр салону Knecht LA100","Під час їзди, в салон автомобіля поступає велика кількість шкідливих речовин. Мова йде про вихлопи від проїжджаючих поруч машин, кіптяви і пилу. Ясна річ, що вдихати чадний газ і оксид азоту не дуже корисно. Для того, щоб шкідливі речовини не потрапляли в салон, використовується фільтр повітря, що подається до салону автомобіля. Компанія Knecht є одним з лідерів виробництва автомобільних фільтрів, зокрема фільтрів салону. Такий фільтр береже не тільки здоров'я водія та пасажирів. Він обмежує потрапляння шкідливих речовин в кондиціонер і радіатор опалення автомобіля. Саме тому іноді зустрічаються й інші його назви: фільтр обігрівача або фільтр кондиціонера.

Фільтр салону рекомендовано міняти з періодичністю 10-20 тис. км пробігу або 1 рік.",,simple,0,799,instock,100.000000,Knecht,Knecht,Австрія,,,,,,,,,,http://regosso-001-site1.ctempurl.com/wordpress/wp-content/uploads/2016/08/Knecht-LA100.jpg,Knecht-LA100.jpg,"H:\root\home\regosso-001\www\germanoil1\wordpress/wp-content/uploads/2016/08/Knecht-LA100.jpg",129,Knecht-LA100,,,,"Фільтри>Фільтри салону",knecht-la100,no
